k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
13,226,2001,1,1,1,0,0,0
13,228,2024,1,1,1,0,0,0
13,229,2024,1,1,1,0,0,0
13,234,2079,1,1,1,0,0,0
13,235,2079,1,1,1,0,0,0
13,236,2090,1,1,1,0,0,0
13,243,2159,1,1,1,0,0,0
13,244,2158,1,1,1,1,1,1
13,244,2159,1,1,1,0,0,0
13,246,2184,1,1,1,0,0,0
13,247,2184,1,1,1,0,0,0
13,255,2261,1,1,1,0,0,0
13,257,2279,1,1,1,0,0,0
13,265,2345,1,1,1,0,0,0
13,272,2414,1,1,1,0,0,0
13,288,2552,1,1,1,0,0,0
13,296,2622,1,1,1,0,0,0
13,296,2625,1,1,1,0,0,0
13,311,2755,1,1,1,0,0,0
13,319,2834,1,1,1,0,0,0
13,320,2834,1,1,1,0,0,0
13,321,2849,1,1,1,0,0,0
13,335,2975,1,1,1,0,0,0
13,336,2975,1,1,1,0,0,0
13,341,3024,1,1,1,0,0,0
13,353,3135,1,1,1,0,0,0
13,354,3135,1,1,1,0,0,0
13,364,3233,1,1,1,0,0,0
13,365,3233,1,1,1,0,0,0
13,367,3255,1,1,1,0,0,0
13,395,3509,1,1,1,0,0,0
13,396,3509,1,1,1,0,0,0
13,398,3534,1,1,1,1,1,1
13,398,3535,1,1,1,0,0,0
13,399,3534,1,1,1,1,1,1
13,399,3535,1,1,1,0,0,0
13,400,3552,1,1,1,0,0,0
13,422,3744,1,1,1,0,0,0
13,428,3795,1,1,1,0,0,0
13,442,3926,1,1,1,0,0,0
13,443,3926,1,1,1,0,0,0
13,461,4095,1,1,1,0,0,0
13,462,4095,1,1,1,0,0,0
13,465,4130,1,1,1,0,0,0
13,466,4130,1,1,1,0,0,0
13,472,4186,1,1,1,0,0,0
13,473,4199,1,1,1,0,0,0
13,481,4263,1,1,1,0,0,0
13,493,4374,1,0,0,0,0,0
13,501,4444,1,1,1,0,0,0
13,525,4654,1,1,1,0,0,0
13,526,4674,1,1,1,0,0,0
13,527,4674,1,1,1,0,0,0
13,540,4795,1,1,1,0,0,0
13,548,4864,1,1,1,0,0,0
13,572,5082,1,1,1,0,0,0
13,575,5103,1,1,1,0,0,0
13,579,5145,1,1,1,0,0,0
13,580,5145,1,1,1,0,0,0
13,642,5704,1,1,1,0,0,0
13,643,5704,1,1,1,0,0,0
13,644,5719,1,1,1,0,0,0
13,674,5984,1,1,1,0,0,0
13,711,6318,1,1,1,1,1,1
13,712,6324,1,1,1,0,0,0
13,713,6335,1,1,1,0,0,0
13,714,6335,1,1,1,0,0,0
13,751,6669,1,1,1,0,0,0
13,776,6887,1,1,1,0,0,0
13,794,7049,1,1,1,0,0,0
13,812,7215,1,1,1,0,0,0
13,813,7215,1,1,1,0,0,0
13,836,7424,1,1,1,0,0,0
13,848,7525,1,1,1,0,0,0
13,890,7904,1,1,1,0,0,0
13,937,8319,1,1,1,0,0,0
13,996,8850,1,1,1,0,0,0
13,997,8850,1,1,1,0,0,0
13,1003,8910,1,1,1,0,0,0
13,1004,8910,1,1,1,0,0,0
13,1066,9471,1,1,1,0,0,0
13,1070,9503,1,1,1,0,0,0
13,1120,9944,1,1,1,0,0,0
13,1127,10010,1,1,1,0,0,0
13,1135,10075,1,1,1,0,0,0
13,1153,10240,0,1,0,0,0,0
13,1188,10556,1,1,1,0,0,0
13,1189,10556,1,1,1,0,0,0
13,1207,10725,1,1,1,0,0,0
13,1208,10725,1,1,1,0,0,0
13,1243,11039,1,1,1,0,0,0
13,1326,11780,1,1,1,0,0,0
13,1393,12375,1,1,1,0,0,0
13,1452,12900,1,1,1,0,0,0
13,1453,12900,1,1,1,0,0,0
13,1468,13039,1,1,1,1,1,1
13,1474,13090,1,1,1,0,0,0
13,1689,14999,1,1,1,0,0,0
13,1696,15065,1,1,1,0,0,0
13,1742,15476,1,1,1,0,0,0
13,1910,16968,1,1,1,0,0,0
13,1929,17135,1,1,1,0,0,0
13,1936,17199,1,1,1,0,0,0
13,2011,17860,1,1,1,0,0,0
13,2118,18815,1,1,1,0,0,0
13,2172,19292,1,1,1,0,0,0
13,2201,19550,1,1,1,1,1,1
13,2201,19551,1,1,1,0,0,0
13,2215,19683,1,0,0,0,0,0
13,2216,19683,1,0,0,0,0,0
13,2252,20007,1,1,1,0,0,0
13,2290,20349,1,1,1,0,0,0
13,2291,20349,1,1,1,0,0,0
13,2314,20559,1,1,1,0,0,0
13,2317,20584,1,1,1,0,0,0
13,2440,21679,1,1,1,0,0,0
13,2530,22479,1,1,1,0,0,0
13,2631,23374,1,1,1,0,0,0
13,2709,24072,1,1,1,0,0,0
13,2710,24072,1,1,1,0,0,0
13,2817,25024,1,1,1,0,0,0
13,2836,25200,1,1,1,0,0,0
13,2837,25200,1,1,1,0,0,0
13,2875,25544,1,1,1,0,0,0
13,2938,26102,1,1,1,0,0,0
